position,title,result_id,publication_info,link,Authors,Year,google_scholar_url,page_number,keyword
11,Trait self‐control predicts performance on behavioral tests of self‐control,QGYIdGqLeEQJ,"BJ Schmeichel, A Zell - Journal of personality, 2007 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-6494.2007.00455.x,"BJ Schmeichel, A Zell",2007,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
12,"The brief self-control scale predicts jail inmates' recidivism, substance dependence, and post-release adjustment",o2Kj9wv4v3AJ,"ET Malouf, KE Schaefer, EA Witt… - Personality and …, 2014 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0146167213511666,"ET Malouf, KE Schaefer, EA Witt…",2014,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
13,"Self-control as a personality resource: Assessment and associations with performance, persistence and well-being",q8CcWlEXzR0J,"TO Gordeeva, EN Osin, DD Suchkov… - Cultural-historical …, 2016 - psyjournals.ru",https://psyjournals.ru/en/kip/2016/n2/gordeeva.shtml,"TO Gordeeva, EN Osin, DD Suchkov…",2016,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
14,The psychological tradeoffs of self-control: A multi-method investigation,4BcVhgKlOj0J,"DL Zabelina, MD Robinson, CL Anicha - Personality and Individual …, 2007 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0191886907000049,"DL Zabelina, MD Robinson, CL Anicha",2007,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
15,Validating the voodoo doll task as a proxy for aggressive parenting behavior.,Nk24lEWOt74J,"RJ McCarthy, JL Crouch, AR Basham… - Psychology of …, 2016 - psycnet.apa.org",https://psycnet.apa.org/buy/2014-49432-001,"RJ McCarthy, JL Crouch, AR Basham…",2016,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
16,Understanding the cognitive and genetic underpinnings of procrastination: Evidence for shared genetic influences with goal management and executive function …,n5De3etEYCUJ,"DE Gustavson, A Miyake, JK Hewitt… - Journal of Experimental …, 2015 - psycnet.apa.org",https://psycnet.apa.org/doiLanding?doi=10.1037/xge0000110,"DE Gustavson, A Miyake, JK Hewitt…",2015,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
17,Effect of peer influence on unauthorized music downloading and sharing: The moderating role of self-construal,h-Q_M_YeSnYJ,"Z Yang, J Wang, M Mourali - Journal of Business Research, 2015 - Elsevier",https://www.sciencedirect.com/science/article/pii/S014829631400294X,"Z Yang, J Wang, M Mourali",2015,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
18,Reducing self-control by weakening belief in free will,4CNSLlKCSwoJ,"D Rigoni, S Kühn, G Gaudino, G Sartori… - Consciousness and …, 2012 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1053810012001171,"D Rigoni, S Kühn, G Gaudino, G Sartori…",2012,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
19,Evaluating the predictive validity of the global competencies inventory for determining global leadership outcomes,gDWGRK_chXgJ,ET Le - 2016 - search.proquest.com,https://search.proquest.com/openview/ab8cc8fddedb936a2bb3daa36b3df47a/1?pq-origsite=gscholar&cbl=18750,ET Le,2016,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
0,Perpetuation of sexual objectification: The role of resource depletion,S6qgkJIb9HsJ,"JM Tyler, RM Calogero… - British Journal of Social …, 2017 - Wiley Online Library",https://bpspsychub.onlinelibrary.wiley.com/doi/abs/10.1111/bjso.12157,"JM Tyler, RM Calogero…",2017,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",3,social desirability
1,Multiple-goal management: An examination of simultaneous pursuit of a weight-loss goal with another goal,7LrmllEcKYIJ,"HC McKee, N Ntoumanis - Journal of health psychology, 2014 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/1359105313485484,"HC McKee, N Ntoumanis",2014,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",3,social desirability
2,Explaining the relationship between religiousness and substance use: self-control matters.,LpPzuIUBdbgJ,"CN DeWall, RS Pond Jr, EC Carter… - Journal of personality …, 2014 - psycnet.apa.org",https://psycnet.apa.org/record/2014-30504-006,"CN DeWall, RS Pond Jr, EC Carter…",2014,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",3,social desirability
3,Self-control relies on glucose as a limited energy source: willpower is more than a metaphor.,OpnizJfiC_UJ,"MT Gailliot, RF Baumeister, CN DeWall… - Journal of personality …, 2007 - psycnet.apa.org",https://psycnet.apa.org/record/2007-00654-010,"MT Gailliot, RF Baumeister, CN DeWall…",2007,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",3,social desirability
4,Measuring Love Languages and Relationship Quality,zkXxV1r6vrgJ,"EA Surijah, IMF Anggara - … Conference on Psychology and Multiculturalism 2017 - neliti.com",https://www.neliti.com/publications/217672/measuring-love-languages-and-relationship-quality,"EA Surijah, IMF Anggara",2017,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",3,social desirability
